,awardYear,category,knownName.en,motivation,prizeAmountAdjusted,wikipedia.english,links.href
880,1979,Physics,Steven Weinberg,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",3384861.0,https://en.wikipedia.org/wiki/Steven_Weinberg,https://api.nobelprize.org/2/laureate/115
646,1979,Peace,Mother Teresa,for her work for bringing help to suffering humanity,3384861.0,https://en.wikipedia.org/wiki/Mother_Teresa,https://api.nobelprize.org/2/laureate/540
851,1979,Economic Sciences,Sir Arthur Lewis,for their pioneering research into economic development research with particular consideration of the problems of developing countries,3384861.0,https://en.wikipedia.org/wiki/Arthur_Lewis_(economist),https://api.nobelprize.org/2/laureate/693
838,1979,Physics,Sheldon Glashow,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",3384861.0,https://en.wikipedia.org/wiki/Sheldon_Lee_Glashow,https://api.nobelprize.org/2/laureate/113
392,1979,Chemistry,Herbert C. Brown,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",3384861.0,https://en.wikipedia.org/wiki/Herbert_C._Brown,https://api.nobelprize.org/2/laureate/252
902,1979,Economic Sciences,Theodore W. Schultz,for their pioneering research into economic development research with particular consideration of the problems of developing countries,3384861.0,https://en.wikipedia.org/wiki/Theodore_Schultz,https://api.nobelprize.org/2/laureate/692
343,1979,Physiology or Medicine,Godfrey N. Hounsfield,for the development of computer assisted tomography,3384861.0,https://en.wikipedia.org/wiki/Godfrey_Hounsfield,https://api.nobelprize.org/2/laureate/418
800,1978,Physics,Robert Woodrow Wilson,for their discovery of cosmic microwave background radiation,3283369.0,https://en.wikipedia.org/wiki/Robert_Woodrow_Wilson,https://api.nobelprize.org/2/laureate/112
359,1978,Physiology or Medicine,Hamilton O. Smith,for the discovery of restriction enzymes and their application to problems of molecular genetics,3283369.0,https://en.wikipedia.org/wiki/Hamilton_O._Smith,https://api.nobelprize.org/2/laureate/416
629,1978,Peace,Menachem Begin,for jointly having negotiated peace between Egypt and Israel in 1978,3283369.0,https://en.wikipedia.org/wiki/Menachem_Begin,https://api.nobelprize.org/2/laureate/539
741,1978,Physics,Pyotr Kapitsa,for his basic inventions and discoveries in the area of low-temperature physics,3283369.0,https://en.wikipedia.org/wiki/Pyotr_Kapitsa,https://api.nobelprize.org/2/laureate/110
69,1978,Peace,Anwar al-Sadat,for jointly having negotiated peace between Egypt and Israel in 1978,3283369.0,https://en.wikipedia.org/wiki/Anwar_Sadat,https://api.nobelprize.org/2/laureate/538
423,1978,Literature,Isaac Bashevis Singer,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",3283369.0,https://en.wikipedia.org/wiki/Isaac_Bashevis_Singer,https://api.nobelprize.org/2/laureate/654
727,1978,Chemistry,Peter Mitchell,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,3283369.0,https://en.wikipedia.org/wiki/Peter_D._Mitchell,https://api.nobelprize.org/2/laureate/251
946,1978,Physiology or Medicine,Werner Arber,for the discovery of restriction enzymes and their application to problems of molecular genetics,3283369.0,https://en.wikipedia.org/wiki/Werner_Arber,https://api.nobelprize.org/2/laureate/414
172,1978,Physiology or Medicine,Daniel Nathans,for the discovery of restriction enzymes and their application to problems of molecular genetics,3283369.0,https://en.wikipedia.org/wiki/Daniel_Nathans,https://api.nobelprize.org/2/laureate/415
395,1978,Economic Sciences,Herbert Simon,for his pioneering research into the decision-making process within economic organizations,3283369.0,https://en.wikipedia.org/wiki/Herbert_A._Simon,https://api.nobelprize.org/2/laureate/691
76,1978,Physics,Arno Penzias,for their discovery of cosmic microwave background radiation,3283369.0,https://en.wikipedia.org/wiki/Arno_Allan_Penzias,https://api.nobelprize.org/2/laureate/111
931,1977,Literature,Vicente Aleixandre,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",3490141.0,https://en.wikipedia.org/wiki/Vicente_Aleixandre,https://api.nobelprize.org/2/laureate/653
815,1977,Physiology or Medicine,Rosalyn Yalow,for the development of radioimmunoassays of peptide hormones,3490141.0,https://en.wikipedia.org/wiki/Rosalyn_Sussman_Yalow,https://api.nobelprize.org/2/laureate/413
448,1977,Economic Sciences,James E. Meade,for their pathbreaking contribution to the theory of international trade and international capital movements,3490141.0,https://en.wikipedia.org/wiki/James_Meade,https://api.nobelprize.org/2/laureate/690
61,1977,Physiology or Medicine,Andrew V. Schally,for their discoveries concerning the peptide hormone production of the brain,3490141.0,https://en.wikipedia.org/wiki/Andrew_Schally,https://api.nobelprize.org/2/laureate/412
868,1977,Physics,Sir Nevill F. Mott,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,3490141.0,https://en.wikipedia.org/wiki/Nevill_Francis_Mott,https://api.nobelprize.org/2/laureate/108
732,1977,Physics,Philip W. Anderson,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,3490141.0,https://en.wikipedia.org/wiki/Philip_Warren_Anderson,https://api.nobelprize.org/2/laureate/107
52,1977,Peace,,for worldwide respect for human rights,3490141.0,https://en.wikipedia.org/wiki/Amnesty_International,https://api.nobelprize.org/2/laureate/537
805,1977,Physiology or Medicine,Roger Guillemin,for their discoveries concerning the peptide hormone production of the brain,3490141.0,https://en.wikipedia.org/wiki/Roger_Guillemin,https://api.nobelprize.org/2/laureate/411
106,1977,Economic Sciences,Bertil Ohlin,for their pathbreaking contribution to the theory of international trade and international capital movements,3490141.0,https://en.wikipedia.org/wiki/Bertil_Ohlin,https://api.nobelprize.org/2/laureate/689
498,1977,Physics,John H. Van Vleck,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,3490141.0,https://en.wikipedia.org/wiki/John_Hasbrouck_Van_Vleck,https://api.nobelprize.org/2/laureate/109
410,1977,Chemistry,Ilya Prigogine,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",3490141.0,https://en.wikipedia.org/wiki/Ilya_Prigogine,https://api.nobelprize.org/2/laureate/250
164,1976,Physiology or Medicine,D. Carleton Gajdusek,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,3786503.0,https://en.wikipedia.org/wiki/Daniel_Carleton_Gajdusek,https://api.nobelprize.org/2/laureate/410
109,1976,Peace,Betty Williams,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,3786503.0,https://en.wikipedia.org/wiki/Betty_Williams_(Nobel_laureate),https://api.nobelprize.org/2/laureate/535
642,1976,Economic Sciences,Milton Friedman,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",3786503.0,https://en.wikipedia.org/wiki/Milton_Friedman,https://api.nobelprize.org/2/laureate/688
95,1976,Physiology or Medicine,Baruch S. Blumberg,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,3786503.0,https://en.wikipedia.org/wiki/Baruch_Samuel_Blumberg,https://api.nobelprize.org/2/laureate/409
830,1976,Literature,Saul Bellow,for the human understanding and subtle analysis of contemporary culture that are combined in his work,3786503.0,https://en.wikipedia.org/wiki/Saul_Bellow,https://api.nobelprize.org/2/laureate/652
118,1976,Physics,Burton Richter,for their pioneering work in the discovery of a heavy elementary particle of a new kind,3786503.0,https://en.wikipedia.org/wiki/Burton_Richter,https://api.nobelprize.org/2/laureate/105
595,1976,Peace,Mairead Corrigan,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,3786503.0,https://en.wikipedia.org/wiki/Mairead_Maguire,https://api.nobelprize.org/2/laureate/536
827,1976,Physics,Samuel C.C. Ting,for their pioneering work in the discovery of a heavy elementary particle of a new kind,3786503.0,https://en.wikipedia.org/wiki/Samuel_C._C._Ting,https://api.nobelprize.org/2/laureate/106
970,1976,Chemistry,William Lipscomb,for his studies on the structure of boranes illuminating problems of chemical bonding,3786503.0,https://en.wikipedia.org/wiki/William_Lipscomb,https://api.nobelprize.org/2/laureate/249
174,1975,Physiology or Medicine,David Baltimore,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,3856254.0,https://en.wikipedia.org/wiki/David_Baltimore,https://api.nobelprize.org/2/laureate/406
59,1975,Peace,Andrei Sakharov,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",3856254.0,https://en.wikipedia.org/wiki/Andrei_Sakharov,https://api.nobelprize.org/2/laureate/534
405,1975,Physiology or Medicine,Howard M. Temin,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,3856254.0,https://en.wikipedia.org/wiki/Howard_Martin_Temin,https://api.nobelprize.org/2/laureate/408
1,1975,Physics,Aage N. Bohr,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,3856254.0,https://en.wikipedia.org/wiki/Aage_Bohr,https://api.nobelprize.org/2/laureate/102
753,1975,Physiology or Medicine,Renato Dulbecco,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,3856254.0,https://en.wikipedia.org/wiki/Renato_Dulbecco,https://api.nobelprize.org/2/laureate/407
936,1975,Chemistry,Vladimir Prelog,for his research into the stereochemistry of organic molecules and reactions,3856254.0,https://en.wikipedia.org/wiki/Vladimir_Prelog,https://api.nobelprize.org/2/laureate/248
491,1975,Chemistry,John Cornforth,for his work on the stereochemistry of enzyme-catalyzed reactions,3856254.0,https://en.wikipedia.org/wiki/John_Cornforth,https://api.nobelprize.org/2/laureate/247
571,1975,Economic Sciences,Leonid Vitaliyevich Kantorovich,for their contributions to the theory of optimum allocation of resources,3856254.0,https://en.wikipedia.org/wiki/Leonid_Kantorovich,https://api.nobelprize.org/2/laureate/686
455,1975,Physics,James Rainwater,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,3856254.0,https://en.wikipedia.org/wiki/James_Rainwater,https://api.nobelprize.org/2/laureate/104
912,1975,Economic Sciences,Tjalling C. Koopmans,for their contributions to the theory of optimum allocation of resources,3856254.0,https://en.wikipedia.org/wiki/Tjalling_Koopmans,https://api.nobelprize.org/2/laureate/687
98,1975,Physics,Ben R. Mottelson,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,3856254.0,https://en.wikipedia.org/wiki/Ben_Roy_Mottelson,https://api.nobelprize.org/2/laureate/103
257,1975,Literature,Eugenio Montale,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",3856254.0,https://en.wikipedia.org/wiki/Eugenio_Montale,https://api.nobelprize.org/2/laureate/651
221,1974,Peace,Eisaku Sato,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,3696835.0,https://en.wikipedia.org/wiki/Eisaku_Satō,https://api.nobelprize.org/2/laureate/533
149,1974,Physiology or Medicine,Christian de Duve,for their discoveries concerning the structural and functional organization of the cell,3696835.0,https://en.wikipedia.org/wiki/Christian_de_Duve,https://api.nobelprize.org/2/laureate/404
349,1974,Economic Sciences,Gunnar Myrdal,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",3696835.0,https://en.wikipedia.org/wiki/Gunnar_Myrdal,https://api.nobelprize.org/2/laureate/684
612,1974,Physics,Martin Ryle,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",3696835.0,https://en.wikipedia.org/wiki/Martin_Ryle,https://api.nobelprize.org/2/laureate/100
68,1974,Physics,Antony Hewish,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",3696835.0,https://en.wikipedia.org/wiki/Antony_Hewish,https://api.nobelprize.org/2/laureate/101
24,1974,Physiology or Medicine,Albert Claude,for their discoveries concerning the structural and functional organization of the cell,3696835.0,https://en.wikipedia.org/wiki/Albert_Claude,https://api.nobelprize.org/2/laureate/403
313,1974,Physiology or Medicine,George E. Palade,for their discoveries concerning the structural and functional organization of the cell,3696835.0,https://en.wikipedia.org/wiki/George_Emil_Palade,https://api.nobelprize.org/2/laureate/405
707,1974,Chemistry,Paul J. Flory,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules",3696835.0,https://en.wikipedia.org/wiki/Paul_Flory,https://api.nobelprize.org/2/laureate/246
372,1974,Literature,Harry Martinson,for writings that catch the dewdrop and reflect the cosmos,3696835.0,https://en.wikipedia.org/wiki/Harry_Martinson,https://api.nobelprize.org/2/laureate/650
833,1974,Peace,Seán MacBride,for his efforts to secure and develop human rights throughout the world,3696835.0,https://en.wikipedia.org/wiki/Seán_MacBride,https://api.nobelprize.org/2/laureate/532
292,1974,Economic Sciences,Friedrich von Hayek,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",3696835.0,https://en.wikipedia.org/wiki/Friedrich_Hayek,https://api.nobelprize.org/2/laureate/685
259,1974,Literature,Eyvind Johnson,"for a narrative art, far-seeing in lands and ages, in the service of freedom",3696835.0,https://en.wikipedia.org/wiki/Eyvind_Johnson,https://api.nobelprize.org/2/laureate/649
428,1973,Physics,Ivar Giaever,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",3774355.0,https://en.wikipedia.org/wiki/Ivar_Giaever,https://api.nobelprize.org/2/laureate/98
387,1973,Peace,Henry Kissinger,for jointly having negotiated a cease fire in Vietnam in 1973,3774355.0,https://en.wikipedia.org/wiki/Henry_Kissinger,https://api.nobelprize.org/2/laureate/530
113,1973,Physics,Brian D. Josephson,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",3774355.0,https://en.wikipedia.org/wiki/Brian_David_Josephson,https://api.nobelprize.org/2/laureate/99
565,1973,Physics,Leo Esaki,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",3774355.0,https://en.wikipedia.org/wiki/Leo_Esaki,https://api.nobelprize.org/2/laureate/97
944,1973,Economic Sciences,Wassily Leontief,for the development of the input-output method and for its application to important economic problems,3774355.0,https://en.wikipedia.org/wiki/Wassily_Leontief,https://api.nobelprize.org/2/laureate/683
561,1973,Peace,Le Duc Tho ,for jointly having negotiated a cease fire in Vietnam in 1973,3774355.0,https://en.wikipedia.org/wiki/Le_Duc_Tho,https://api.nobelprize.org/2/laureate/531
666,1973,Physiology or Medicine,Nikolaas Tinbergen,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,3774355.0,https://en.wikipedia.org/wiki/Nikolaas_Tinbergen,https://api.nobelprize.org/2/laureate/402
249,1973,Chemistry,Ernst Otto Fischer,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",3774355.0,https://en.wikipedia.org/wiki/Ernst_Otto_Fischer,https://api.nobelprize.org/2/laureate/244
696,1973,Literature,Patrick White,for an epic and psychological narrative art which has introduced a new continent into literature,3774355.0,https://en.wikipedia.org/wiki/Patrick_White,https://api.nobelprize.org/2/laureate/648
303,1973,Chemistry,Geoffrey Wilkinson,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",3774355.0,https://en.wikipedia.org/wiki/Geoffrey_Wilkinson,https://api.nobelprize.org/2/laureate/245
553,1973,Physiology or Medicine,Konrad Lorenz,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,3774355.0,https://en.wikipedia.org/wiki/Konrad_Lorenz,https://api.nobelprize.org/2/laureate/401
534,1973,Physiology or Medicine,Karl von Frisch,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,3774355.0,https://en.wikipedia.org/wiki/Karl_von_Frisch,https://api.nobelprize.org/2/laureate/400
504,1972,Economic Sciences,John R. Hicks,for their pioneering contributions to general economic equilibrium theory and welfare theory,3790037.0,https://en.wikipedia.org/wiki/John_Hicks,https://api.nobelprize.org/2/laureate/681
797,1972,Physics,Robert Schrieffer,"for their jointly developed theory of superconductivity, usually called the BCS-theory",3790037.0,https://en.wikipedia.org/wiki/John_Robert_Schrieffer,https://api.nobelprize.org/2/laureate/96
542,1972,Economic Sciences,Kenneth J. Arrow,for their pioneering contributions to general economic equilibrium theory and welfare theory,3790037.0,https://en.wikipedia.org/wiki/Kenneth_Arrow,https://api.nobelprize.org/2/laureate/682
376,1972,Literature,Heinrich Böll,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,3790037.0,https://en.wikipedia.org/wiki/Heinrich_Böll,https://api.nobelprize.org/2/laureate/647
968,1972,Chemistry,William H. Stein,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,3790037.0,https://en.wikipedia.org/wiki/William_Howard_Stein,https://api.nobelprize.org/2/laureate/243
802,1972,Physiology or Medicine,Rodney R. Porter,for their discoveries concerning the chemical structure of antibodies,3790037.0,https://en.wikipedia.org/wiki/Rodney_Robert_Porter,https://api.nobelprize.org/2/laureate/399
875,1972,Chemistry,Stanford Moore,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,3790037.0,https://en.wikipedia.org/wiki/Stanford_Moore,https://api.nobelprize.org/2/laureate/242
327,1972,Physiology or Medicine,Gerald M. Edelman,for their discoveries concerning the chemical structure of antibodies,3790037.0,https://en.wikipedia.org/wiki/Gerald_Edelman,https://api.nobelprize.org/2/laureate/398
148,1972,Chemistry,Christian Anfinsen,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",3790037.0,https://en.wikipedia.org/wiki/Christian_B._Anfinsen,https://api.nobelprize.org/2/laureate/241
569,1972,Physics,Leon N. Cooper,"for their jointly developed theory of superconductivity, usually called the BCS-theory",3790037.0,https://en.wikipedia.org/wiki/Leon_Cooper,https://api.nobelprize.org/2/laureate/95
974,1971,Peace,Willy Brandt,for paving the way for a meaningful dialogue between East and West,3762992.0,https://en.wikipedia.org/wiki/Willy_Brandt,https://api.nobelprize.org/2/laureate/529
205,1971,Physiology or Medicine,"Earl W. Sutherland, Jr.",for his discoveries concerning the mechanisms of the action of hormones,3762992.0,"https://en.wikipedia.org/wiki/Earl_Wilbur_Sutherland,_Jr.",https://api.nobelprize.org/2/laureate/397
334,1971,Chemistry,Gerhard Herzberg,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",3762992.0,https://en.wikipedia.org/wiki/Gerhard_Herzberg,https://api.nobelprize.org/2/laureate/240
692,1971,Literature,Pablo Neruda,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams,3762992.0,https://en.wikipedia.org/wiki/Pablo_Neruda,https://api.nobelprize.org/2/laureate/645
846,1971,Economic Sciences,Simon Kuznets,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development,3762992.0,https://en.wikipedia.org/wiki/Simon_Kuznets,https://api.nobelprize.org/2/laureate/680
185,1971,Physics,Dennis Gabor,for his invention and development of the holographic method,3762992.0,https://en.wikipedia.org/wiki/Dennis_Gabor,https://api.nobelprize.org/2/laureate/93
668,1970,Peace,Norman Borlaug,for having given a well-founded hope - the green revolution,3600000.0,https://en.wikipedia.org/wiki/Norman_Borlaug,https://api.nobelprize.org/2/laureate/528
697,1970,Economic Sciences,Paul A. Samuelson,for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science,3600000.0,https://en.wikipedia.org/wiki/Paul_Samuelson,https://api.nobelprize.org/2/laureate/679
922,1970,Physiology or Medicine,Ulf von Euler,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",3600000.0,https://en.wikipedia.org/wiki/Ulf_von_Euler,https://api.nobelprize.org/2/laureate/395
853,1970,Physiology or Medicine,Sir Bernard Katz,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",3600000.0,https://en.wikipedia.org/wiki/Bernard_Katz,https://api.nobelprize.org/2/laureate/394
593,1970,Chemistry,Luis Leloir,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates,3600000.0,https://en.wikipedia.org/wiki/Luis_Federico_Leloir,https://api.nobelprize.org/2/laureate/239
35,1970,Literature,Alexandr Solzhenitsyn,for the ethical force with which he has pursued the indispensable traditions of Russian literature,3600000.0,https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn,https://api.nobelprize.org/2/laureate/644
586,1970,Physics,Louis Néel,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,3600000.0,https://en.wikipedia.org/wiki/Louis_Néel,https://api.nobelprize.org/2/laureate/92
526,1970,Physiology or Medicine,Julius Axelrod,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",3600000.0,https://en.wikipedia.org/wiki/Julius_Axelrod,https://api.nobelprize.org/2/laureate/396
360,1970,Physics,Hannes Alfvén,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,3600000.0,https://en.wikipedia.org/wiki/Hannes_Alfvén,https://api.nobelprize.org/2/laureate/91
672,1969,Chemistry,Odd Hassel,for their contributions to the development of the concept of conformation and its application in chemistry,3604072.0,https://en.wikipedia.org/wiki/Odd_Hassel,https://api.nobelprize.org/2/laureate/238
458,1969,Economic Sciences,Jan Tinbergen,for having developed and applied dynamic models for the analysis of economic processes,3604072.0,https://en.wikipedia.org/wiki/Jan_Tinbergen,https://api.nobelprize.org/2/laureate/678
826,1969,Literature,Samuel Beckett,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",3604072.0,https://en.wikipedia.org/wiki/Samuel_Beckett,https://api.nobelprize.org/2/laureate/643
824,1969,Physiology or Medicine,Salvador E. Luria,for their discoveries concerning the replication mechanism and the genetic structure of viruses,3604072.0,https://en.wikipedia.org/wiki/Salvador_Luria,https://api.nobelprize.org/2/laureate/393
620,1969,Physiology or Medicine,Max Delbrück,for their discoveries concerning the replication mechanism and the genetic structure of viruses,3604072.0,https://en.wikipedia.org/wiki/Max_Delbrück,https://api.nobelprize.org/2/laureate/391
186,1969,Chemistry,Derek Barton,for their contributions to the development of the concept of conformation and its application in chemistry,3604072.0,https://en.wikipedia.org/wiki/Derek_Barton,https://api.nobelprize.org/2/laureate/237
743,1969,Economic Sciences,Ragnar Frisch,for having developed and applied dynamic models for the analysis of economic processes,3604072.0,https://en.wikipedia.org/wiki/Ragnar_Frisch,https://api.nobelprize.org/2/laureate/677
649,1969,Physics,Murray Gell-Mann,for his contributions and discoveries concerning the classification of elementary particles and their interactions,3604072.0,https://en.wikipedia.org/wiki/Murray_Gell-Mann,https://api.nobelprize.org/2/laureate/90
418,1969,Peace,,for creating international legislation insuring certain norms for working conditions in every country,3604072.0,https://en.wikipedia.org/wiki/International_Labour_Organization,https://api.nobelprize.org/2/laureate/527
39,1969,Physiology or Medicine,Alfred D. Hershey,for their discoveries concerning the replication mechanism and the genetic structure of viruses,3604072.0,https://en.wikipedia.org/wiki/Alfred_Hershey,https://api.nobelprize.org/2/laureate/392
592,1968,Physics,Luis Alvarez,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",3457674.0,https://en.wikipedia.org/wiki/Luis_Walter_Alvarez,https://api.nobelprize.org/2/laureate/89
799,1968,Physiology or Medicine,Robert W. Holley,for their interpretation of the genetic code and its function in protein synthesis,3457674.0,https://en.wikipedia.org/wiki/Robert_W._Holley,https://api.nobelprize.org/2/laureate/388
985,1968,Literature,Yasunari Kawabata,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind",3457674.0,https://en.wikipedia.org/wiki/Yasunari_Kawabata,https://api.nobelprize.org/2/laureate/642
557,1968,Chemistry,Lars Onsager,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",3457674.0,https://en.wikipedia.org/wiki/Lars_Onsager,https://api.nobelprize.org/2/laureate/236
754,1968,Peace,René Cassin,for his struggle to ensure the rights of man as stipulated in the UN Declaration,3457674.0,https://en.wikipedia.org/wiki/René_Cassin,https://api.nobelprize.org/2/laureate/526
606,1968,Physiology or Medicine,Marshall W. Nirenberg,for their interpretation of the genetic code and its function in protein synthesis,3457674.0,https://en.wikipedia.org/wiki/Marshall_Warren_Nirenberg,https://api.nobelprize.org/2/laureate/390
356,1968,Physiology or Medicine,H. Gobind Khorana,for their interpretation of the genetic code and its function in protein synthesis,3457674.0,https://en.wikipedia.org/wiki/Har_Gobind_Khorana,https://api.nobelprize.org/2/laureate/389
321,1967,Chemistry,George Porter,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",3221232.0,https://en.wikipedia.org/wiki/George_Porter,https://api.nobelprize.org/2/laureate/235
744,1967,Physiology or Medicine,Ragnar Granit,for their discoveries concerning the primary physiological and chemical visual processes in the eye,3221232.0,https://en.wikipedia.org/wiki/Ragnar_Granit,https://api.nobelprize.org/2/laureate/385
361,1967,Physics,Hans Bethe,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",3221232.0,https://en.wikipedia.org/wiki/Hans_Bethe,https://api.nobelprize.org/2/laureate/88
323,1967,Physiology or Medicine,George Wald,for their discoveries concerning the primary physiological and chemical visual processes in the eye,3221232.0,https://en.wikipedia.org/wiki/George_Wald,https://api.nobelprize.org/2/laureate/387
812,1967,Chemistry,Ronald G.W. Norrish,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",3221232.0,https://en.wikipedia.org/wiki/Ronald_George_Wreyford_Norrish,https://api.nobelprize.org/2/laureate/234
598,1967,Chemistry,Manfred Eigen,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",3221232.0,https://en.wikipedia.org/wiki/Manfred_Eigen,https://api.nobelprize.org/2/laureate/233
639,1967,Literature,Miguel Angel Asturias,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",3221232.0,https://en.wikipedia.org/wiki/Miguel_Ángel_Asturias,https://api.nobelprize.org/2/laureate/641
539,1967,Physiology or Medicine,Keffer Hartline,for their discoveries concerning the primary physiological and chemical visual processes in the eye,3221232.0,https://en.wikipedia.org/wiki/Haldan_Keffer_Hartline,https://api.nobelprize.org/2/laureate/386
728,1966,Physiology or Medicine,Peyton Rous,for his discovery of tumour-inducing viruses,3154455.0,https://en.wikipedia.org/wiki/Francis_Peyton_Rous,https://api.nobelprize.org/2/laureate/383
42,1966,Physics,Alfred Kastler,for the discovery and development of optical methods for studying Hertzian resonances in atoms,3154455.0,https://en.wikipedia.org/wiki/Alfred_Kastler,https://api.nobelprize.org/2/laureate/87
658,1966,Literature,Nelly Sachs,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength",3154455.0,https://en.wikipedia.org/wiki/Nelly_Sachs,https://api.nobelprize.org/2/laureate/640
842,1966,Literature,Shmuel Agnon,for his profoundly characteristic narrative art with motifs from the life of the Jewish people,3154455.0,https://en.wikipedia.org/wiki/Shmuel_Yosef_Agnon,https://api.nobelprize.org/2/laureate/639
136,1966,Physiology or Medicine,Charles B. Huggins,for his discoveries concerning hormonal treatment of prostatic cancer,3154455.0,https://en.wikipedia.org/wiki/Charles_Brenton_Huggins,https://api.nobelprize.org/2/laureate/384
796,1966,Chemistry,Robert S. Mulliken,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method,3154455.0,https://en.wikipedia.org/wiki/Robert_S._Mulliken,https://api.nobelprize.org/2/laureate/232
443,1965,Physiology or Medicine,Jacques Monod,for their discoveries concerning genetic control of enzyme and virus synthesis,3152463.0,https://en.wikipedia.org/wiki/Jacques_Monod,https://api.nobelprize.org/2/laureate/382
